epoch,train_loss,val_loss,lr
1,0.8373954093882016,0.6288966536521912,0.0004999691581204152
2,0.7251543599580016,0.6121273934841156,0.0004998766400914329
3,0.6980026108877999,0.5744726146970477,0.0004997224687404926
4,0.6698581225105694,0.5563207651887622,0.0004995066821070679
5,0.6476170942187309,0.5287321422781263,0.000499229333433282
6,0.6287437182451997,0.5247154235839844,0.00049889049115077
7,0.6125824015055384,0.5025077504771096,0.0004984902388637949
8,0.5984594651630947,0.48438380445752827,0.0004980286753286195
9,0.5763365775346756,0.4778118516717638,0.0004975059144291394
10,0.5635983778962067,0.46095187749181477,0.0004969220851487844
11,0.5483252901051726,0.42493548137801035,0.0004962773315386935
12,0.5326518991163799,0.4116452251161848,0.0004955718126821722
13,0.5130578758461135,0.4116192374910627,0.0004948057026554414
14,0.4971447124012879,0.38447897349085125,0.0004939791904846868
15,0.47710494164909634,0.3692519004855837,0.0004930924800994191
16,0.45928705324019703,0.3716796615294048,0.0004921457902821577
17,0.44551113141434534,0.355487836258752,0.0004911393546144495
18,0.42841182383043425,0.3573589708123888,0.0004900734214192357
19,0.4243935426431043,0.3327527131353106,0.0004889482536995824
20,0.4131257784153734,0.33280866912433077,0.0004877641290737883
21,0.4017589901174818,0.32343838683196474,0.00048652133970688617
22,0.3823290504515171,0.31713631749153137,0.0004852201922385562
23,0.3719838096627167,0.31237827241420746,0.0004838610077074667
24,0.3606233038008213,0.31426398881844114,0.00048244412147206266
25,0.35211761402232306,0.29597542541367666,0.0004809698831278215
26,0.3438997305929661,0.2971592183623995,0.00047943865642099503
27,0.33593679698450224,0.2863019523876054,0.00047785081915886106
28,0.3214161646153246,0.27631871082953047,0.0004762067631165046
29,0.3209016557250704,0.28273600872073856,0.00047450689394015364
30,0.3083178946482284,0.2784395728792463,0.0004727516310470917
31,0.2937103427414383,0.2817322186061314,0.00047094140752217313
32,0.2940117001001324,0.27928123410258976,0.00046907667001096557
33,0.28499866410025526,0.27798561113221304,0.00046715787860954753
34,0.27919367674205986,0.27289397588797976,0.00046518550675098564
35,0.2691494684134211,0.2639859382595335,0.0004631600410885228
36,0.27173422782548834,0.277720037315573,0.0004610819813755035
37,0.25938492986772743,0.25639051624706816,0.00045895184034206734
38,0.25291028884904726,0.262063561805657,0.00045677014356864016
39,0.24499943958861486,0.2562482846634729,0.0004545374293562556
40,0.24703110781099116,0.2483266560094697,0.0004522542485937366
41,0.24151351994701795,0.2547882688896997,0.0004499211646217724
42,0.23055858723819256,0.2469164463026183,0.0004475387530939223
43,0.23035284876823425,0.2551443576812744,0.00044510760183458215
44,0.22457208910158702,0.2502108056630407,0.000442628310693947
45,0.22407470616911138,0.24712438242776052,0.00044010149140000747
46,0.22180800805134432,0.2541313501341002,0.0004375277674076146
47,0.21000607045633451,0.2554200536438397,0.00043490777374465206
48,0.20775076214756286,0.24582297567810332,0.00043224215685535255
49,0.20576436684599944,0.2550351694226265,0.0004295315744407969
50,0.19839907943138055,0.24946504192692892,0.00042677669529663653
51,0.20034821863685334,0.24161963696990693,0.0004239781991480782
52,0.1940088655267443,0.2430403232574463,0.00042113677648217187
53,0.19323185804699147,0.25012681101049694,0.000418253128377443
54,0.19226941147020885,0.24181684958083288,0.00041532796633091264
55,0.18900640388684614,0.24295787726129806,0.0004123620120825456
56,0.1826383490115404,0.2396264991589955,0.0004093559974371721
57,0.18696265002446516,0.24194749764033727,0.000406310664083926
58,0.17748492344149522,0.24601236092192785,0.0004032267634132438
59,0.17544053574757917,0.24032771161624364,0.00040010505633147073
60,0.1736211928405932,0.2358799214873995,0.000396946313073118
61,0.1733149215579033,0.23913349636963435,0.0003937513130108194
62,0.16610186573650157,0.24442033150366374,0.00039052084446303243
63,0.17270109270300185,0.23937550293547766,0.0003872557044995327
64,0.17010412604681083,0.24033730157784053,0.0003839566987447489
65,0.16724038988884007,0.234116403652089,0.00038062464117898695
66,0.1639235420152545,0.23658093703644617,0.0003772603539375926
67,0.1622787123279912,0.23002106164182937,0.0003738646671081017
68,0.16127827976431167,0.231622186090265,0.00037043841852542857
69,0.15620282358889068,0.23144136794975825,0.00036698245356514314
70,0.15226457480873382,0.2300055463399206,0.00036349762493488645
71,0.15201527465667045,0.22489755281380244,0.0003599847924639785
72,0.15118072248463119,0.22855577085699355,0.0003564448228912679
73,0.15048938657024077,0.22755690557616098,0.00035287858965127696
74,0.1496294837977205,0.22851644030639104,0.0003492869726586949
75,0.14769171218254737,0.2301123599920954,0.0003456708580912722
76,0.144114464388362,0.22491184302738734,0.00034203113817116924
77,0.14122892756547248,0.22598515397736005,0.000338368710944814
78,0.14019083896917955,0.22658129408955574,0.0003346844800613226
79,0.1420730578580073,0.22196758378829276,0.00033097935454953704
80,0.1390602607280016,0.2193340345152787,0.00032725424859373655
81,0.13727203982749156,0.22213723191193172,0.0003235100813080757
82,0.1362014821331416,0.220007308359657,0.0003197477765098071
83,0.13382940380168812,0.22503905157957757,0.0003159682624913429
84,0.1380288986755269,0.22244843734162195,0.0003121724717912134
85,0.13213989724005973,0.22295277831809862,0.0003083613409639761
86,0.13117411799196685,0.22527315148285457,0.00030453581034913543
87,0.13006221769111498,0.2256357946566173,0.0003006968238391279
88,0.13307010222758567,0.2133038586803845,0.000296845328646431
89,0.12694574320422752,0.21943126831735885,0.00029298227506985216
90,0.12593999079295568,0.22201913169452123,0.0002891086162600575
91,0.12396958696522883,0.21796233260205813,0.0002852253079843955
92,0.12452991639396974,0.22053035401872226,0.0002813333083910759
93,0.12722486669995955,0.22207199675696238,0.0002774335777727611
94,0.12650421088827507,0.22466891525047167,0.00027352707832962835
95,0.12225254931088005,0.22412401969943727,0.000269614773931961
96,0.12041642530156034,0.22624313884547778,0.0002656976298823281
97,0.12092377790915114,0.2224292755126953,0.0002617766126774104
98,0.1195920832189066,0.22292012934173858,0.00025785268976953184
99,0.11470138840377331,0.22122972192508833,0.00025392682932795496
100,0.11570765330855336,0.21879957669547626,0.0002499999999999998
101,0.11811145474868161,0.2141667620411941,0.00024607317067204467
102,0.11556561637137618,0.2081468664109707,0.0002421473102304677
103,0.11502021231821605,0.21311228296586446,0.00023822338732258912
104,0.11525434934134994,0.21022516595465796,0.00023430237011767144
105,0.11379338348550457,0.21580082231334277,0.00023038522606803858
106,0.1124293701723218,0.21544281845646246,0.0002264729216703712
107,0.11069413208003555,0.20716357124703272,0.0002225664222272385
108,0.11298633699438401,0.21763569489121437,0.00021866669160892376
109,0.11014894422675882,0.21778230369091034,0.0002147746920156042
110,0.10746148494737488,0.21287465521267482,0.0002108913837399421
111,0.10859279228108269,0.21535339818469115,0.00020701772493014742
112,0.11148446345967906,0.21797278124306882,0.0002031546713535687
113,0.11046146082558803,0.21603153699210711,0.00019930317616087176
114,0.106696743385068,0.21194101657186235,0.0001954641896508643
115,0.10569126291998795,0.2141769283584186,0.0001916386590360235
116,0.10578121404562678,0.2160288736756359,0.00018782752820878617
117,0.10676305767680917,0.21085997324969089,0.00018403173750865666
118,0.10564943017171961,0.208947821653315,0.00018025222349019257
119,0.10506563686898776,0.21301689930260181,0.0001764899186919239
120,0.10306426962571484,0.21080046892166138,0.0001727457514062631
121,0.10119045658835343,0.21130845163549697,0.00016902064545046253
122,0.1034966872206756,0.2123957486557109,0.00016531551993867705
123,0.10227758344262838,0.2116644520844732,0.00016163128905518563
124,0.10235586895474366,0.21317432182175772,0.00015796886182883044
125,0.10193063810999904,0.2132453913135188,0.0001543291419087275
126,0.0996839330930795,0.21064385904797486,0.0001507130273413047
127,0.09781142829784326,0.20904503336974553,0.0001471214103487227
128,0.09915976758514132,0.21153673263532774,0.00014355517710873172
129,0.09876405354589224,0.2051527758261987,0.0001400152075360211
130,0.09838698085929666,0.2090803206499134,0.0001365023750651132
131,0.09685488031910998,0.20825178575302875,0.0001330175464348566
132,0.09517576838178295,0.20724686980247498,0.00012956158147457104
133,0.09609612210520677,0.20519320028168814,0.00012613533289189798
134,0.09642365268830742,0.20969444619757788,0.00012273964606240704
135,0.0944630198978952,0.20705524432872022,0.00011937535882101267
136,0.09623301375125136,0.20456897360937937,0.00011604330125525064
137,0.09536012541502714,0.2043524102440902,0.0001127442955004669
138,0.09538134945822614,0.2064885667392186,0.0001094791555369672
139,0.09300982326801334,0.20553966212485517,0.00010624868698918024
140,0.0957786702950086,0.20643553936055728,0.00010305368692688163
141,0.09273827342050416,0.20381226816347667,9.989494366852891e-05
142,0.09154230462653297,0.20547266703631198,9.677323658675574e-05
143,0.09212148828165871,0.2055361449186291,9.368933591607359e-05
144,0.09181554336100817,0.20883146141256606,9.064400256282745e-05
145,0.09207105516855206,0.20810709946921893,8.763798791745401e-05
146,0.09041337389498949,0.20759371322180545,8.467203366908697e-05
147,0.09130304359963962,0.20625397988728114,8.174687162255655e-05
148,0.091943258552679,0.20395168901554175,7.886322351782772e-05
149,0.08835352744374957,0.20341313311031886,7.602180085192133e-05
150,0.09088337860469307,0.203819247760943,7.322330470336305e-05
151,0.08979357313364744,0.204913867504469,7.046842555920274e-05
152,0.08983462995716504,0.2042305896590863,6.775784314464707e-05
153,0.08814330319208759,0.20394823487315858,6.509222625534746e-05
154,0.08990300366921085,0.20372044068894216,6.247223259238502e-05
155,0.08867619878479413,0.20599635863410576,5.989850859999219e-05
156,0.0909565067184823,0.20618180065814937,5.7371689306052636e-05
157,0.08937676277543817,0.2053322173388941,5.489239816541753e-05
158,0.08541870210319757,0.20394213550857135,5.246124690607732e-05
159,0.08970833064189979,0.20595136205000536,5.0078835378227284e-05
160,0.08633044621508036,0.20590043959340878,4.7745751406263096e-05
161,0.09106232724817735,0.20623228220002993,4.546257064374411e-05
162,0.08803812214838606,0.20509541726538114,4.322985643135951e-05
163,0.08727756002917886,0.20301408360579185,4.104815965793243e-05
164,0.086716891931636,0.20497753670705215,3.891801862449623e-05
165,0.0871118607797793,0.20380608604422637,3.683995891147696e-05
166,0.08824826470975365,0.20312134309538774,3.481449324901401e-05
167,0.08627808333507606,0.20243682685707295,3.284212139045212e-05
168,0.08536424660789114,0.20340438932180405,3.092332998903406e-05
169,0.0844666590648038,0.20321631019136735,2.905859247782659e-05
170,0.08737714016543967,0.20451899817479507,2.7248368952908014e-05
171,0.0863401855209044,0.20456152276269027,2.549310605984608e-05
172,0.08675759392125267,0.20382509021354572,2.3793236883495127e-05
173,0.08401535730808973,0.2027772535969104,2.2149180841138702e-05
174,0.08623084252966302,0.20258453621395997,2.0561343579004743e-05
175,0.08321640840066331,0.2023718355755721,1.9030116872178343e-05
176,0.08571141146655593,0.2026946142848049,1.7555878527937136e-05
177,0.08479070024830955,0.20230877412749187,1.6138992292533132e-05
178,0.08448254689574242,0.20223340884383237,1.4779807761443615e-05
179,0.08543115667998791,0.202435175356056,1.3478660293113657e-05
180,0.08340996743312903,0.20287781301885843,1.22358709262116e-05
181,0.08412311399089438,0.20284360168235643,1.1051746300417455e-05
182,0.08428009932062455,0.2032577646896243,9.926578580764248e-06
183,0.08515841314303023,0.20332578250340053,8.860645385550496e-06
184,0.08340433120195355,0.2031818302348256,7.854209717842249e-06
185,0.0844080490725381,0.20336190757474729,6.907519900580852e-06
186,0.08518939917641026,0.20301691070199013,6.0208095153131615e-06
187,0.08399209899029561,0.20293905479567392,5.1942973445585285e-06
188,0.0836726086480277,0.20296786140118325,4.4281873178278145e-06
189,0.08364993333816528,0.2028198361928974,3.7226684613065283e-06
190,0.08370061744270581,0.20273758617362805,3.0779148512155813e-06
191,0.08269430151475328,0.20275902415492705,2.494085570860613e-06
192,0.08341929236693042,0.20275806901710375,1.9713246713805566e-06
193,0.08329637521611792,0.20280003866979054,1.5097611362050993e-06
194,0.08393660121198211,0.2027661789740835,1.1095088492299995e-06
195,0.08465769953493561,0.20274429874760763,7.706665667180081e-07
196,0.08309072641921895,0.2027376303449273,4.933178929321097e-07
197,0.08439948157008205,0.20274178138268845,2.7753125950752376e-07
198,0.08405726090339678,0.20274233631789684,1.2335990856709983e-07
199,0.08301801620317358,0.20273923514676945,3.084187958485303e-08
200,0.08505441753992013,0.20273842117083923,0.0
