variant,p,d,q,P,D,Q,m,aic,bic,llf,fit_seconds,ok,error
no_exog,2,1,1,0,1,0,7,20296.59823997001,20318.769214151485,-10144.299119985006,0.5106387138366699,True,
no_exog,2,1,1,0,1,1,7,19145.71129247454,19173.40642775366,-9567.85564623727,1.0478670597076416,True,
no_exog,2,1,1,0,1,2,7,19079.877110927162,19113.088891141826,-9533.938555463581,2.3880388736724854,True,
no_exog,2,1,1,1,1,0,7,19725.353739710914,19753.048874990032,-9857.676869855457,1.3461458683013916,True,
no_exog,2,1,1,1,1,1,7,19147.062639535827,19180.296801870772,-9567.531319767913,1.4312999248504639,True,
no_exog,2,1,1,1,1,2,7,19080.668219498817,19119.415296415926,-9533.334109749409,2.495729923248291,True,
no_exog,2,1,1,2,1,0,7,19456.592124134833,19489.803904349497,-9722.296062067417,2.328911066055298,True,
no_exog,2,1,1,2,1,1,7,19081.842302802623,19120.58937971973,-9533.921151401311,2.640655040740967,True,
no_exog,2,1,1,2,1,2,7,19082.400106243742,19126.682479863295,-9533.200053121871,2.3516228199005127,True,
no_exog,2,1,2,0,1,0,7,20266.30422533561,20294.015292651577,-10128.152112667805,1.154893159866333,True,
no_exog,2,1,2,0,1,1,7,19137.465735975617,19170.6967059721,-9562.732867987808,2.878092050552368,True,
no_exog,2,1,2,0,1,2,7,19389.462831941848,19428.20617054111,-9687.731415970924,7.221169948577881,True,
no_exog,2,1,2,1,1,0,7,19830.776570590308,19864.010732925253,-9909.388285295154,1.8512718677520752,True,
no_exog,2,1,2,1,1,1,7,19386.96067458232,19425.730139578212,-9686.48033729116,4.023693799972534,True,
no_exog,2,1,2,1,1,2,7,19344.689096731207,19388.967197987506,-9664.344548365603,11.154953002929688,True,
no_exog,2,1,2,2,1,0,7,19617.809379032806,19656.556455949914,-9801.904689516403,4.743135929107666,True,
no_exog,2,1,2,2,1,1,7,19256.4588919409,19300.741265560453,-9620.22944597045,9.135642766952515,True,
no_exog,2,1,2,2,1,2,7,19337.450720857207,19387.263584770546,-9659.725360428603,9.98308515548706,True,
no_exog,2,1,3,0,1,0,7,20051.692711955766,20084.942810555058,-10019.846355977883,1.7045433521270752,True,
no_exog,2,1,3,0,1,1,7,19124.21701694678,19162.982755565157,-9555.10850847339,3.2573680877685547,True,
no_exog,2,1,3,0,1,2,7,19064.833796596606,19109.107623206797,-9524.416898298303,6.543339967727661,True,
no_exog,2,1,3,1,1,0,7,19658.309879687862,19697.08306907863,-9822.154939843931,3.700748920440674,True,
no_exog,2,1,3,1,1,1,7,19132.070880734274,19176.37458201242,-9558.035440367137,2.6929430961608887,True,
no_exog,2,1,3,1,1,2,7,19067.24588402135,19117.05393895782,-9524.622942010676,6.286219120025635,True,
no_exog,2,1,3,2,1,0,7,19461.648783696037,19505.93115731559,-9722.824391848018,5.608289003372192,True,
no_exog,2,1,3,2,1,1,7,19084.549680609915,19134.367350931912,-9533.274840304957,5.42765474319458,True,
no_exog,2,1,3,2,1,2,7,19068.552994428162,19123.895277690903,-9524.276497214081,7.526335000991821,True,
no_exog,2,1,4,0,1,0,7,20097.156114204714,20135.944181390667,-10041.578057102357,2.3762831687927246,True,
no_exog,2,1,4,0,1,1,7,19101.525424104406,19145.8248643971,-9542.762712052203,3.2934250831604004,True,
no_exog,2,1,4,0,1,2,7,19049.240924392332,19099.04416778097,-9515.620462196166,8.019610166549683,True,
no_exog,2,1,4,1,1,0,7,19756.50098302633,19800.813199472923,-9870.250491513165,3.7481887340545654,True,
no_exog,2,1,4,1,1,1,7,19116.35544901775,19166.19231934703,-9549.177724508874,3.6406149864196777,True,
no_exog,2,1,4,1,1,2,7,19037.844656277717,19093.181593376205,-9508.922328138859,10.162091970443726,True,
no_exog,2,1,4,2,1,0,7,19462.731412776204,19512.5490830982,-9722.365706388102,5.353649139404297,True,
no_exog,2,1,4,2,1,1,7,19086.782083050995,19142.135050075438,-9533.391041525498,5.909275770187378,True,
no_exog,2,1,4,2,1,2,7,19039.52837171627,19100.399002524606,-9508.764185858136,8.883440971374512,True,
no_exog,3,1,0,0,1,0,7,20660.258441962666,20682.42729581544,-10326.129220981333,0.03559708595275879,True,
no_exog,3,1,0,0,1,1,7,19399.296244715348,19426.994038861852,-9694.648122357674,0.6226346492767334,True,
no_exog,3,1,0,0,1,2,7,19333.040201275282,19366.255184052072,-9660.520100637641,1.970797061920166,True,
no_exog,3,1,0,1,1,0,7,20049.871988806677,20077.564463803745,-10019.935994403339,0.3388180732727051,True,
no_exog,3,1,0,1,1,1,7,19381.57418817278,19414.805158169263,-9684.78709408639,1.2276051044464111,True,
no_exog,3,1,0,1,1,2,7,19334.309695488577,19373.060508728166,-9660.154847744288,2.5916800498962402,True,
no_exog,3,1,0,2,1,0,7,19738.205108483355,19771.41368442558,-9863.102554241677,0.6691310405731201,True,
no_exog,3,1,0,2,1,1,7,19315.43340562873,19354.176744227992,-9650.716702814365,2.9448459148406982,True,
no_exog,3,1,0,2,1,2,7,19316.53861218058,19360.816713436878,-9650.26930609029,5.762763023376465,True,
no_exog,3,1,1,0,1,0,7,20285.211123494344,20312.92219081031,-10137.605561747172,0.8385829925537109,True,
no_exog,3,1,1,0,1,1,7,19143.626609182502,19176.860771517448,-9565.813304591251,1.2753651142120361,True,
no_exog,3,1,1,0,1,2,7,19076.882681382405,19115.629758299514,-9531.441340691203,3.8205649852752686,True,
no_exog,3,1,1,1,1,0,7,19713.29096770866,19746.521937705144,-9850.64548385433,1.9251861572265625,True,
no_exog,3,1,1,1,1,1,7,19134.885157841505,19173.6546228374,-9560.442578920753,1.7597129344940186,True,
no_exog,3,1,1,1,1,2,7,19077.965919141876,19122.24829276143,-9530.982959570938,5.115159749984741,True,
no_exog,3,1,1,2,1,0,7,19441.3311154914,19480.074454090663,-9713.6655577457,4.341641187667847,True,
