name,seq_len,hidden_size,num_layers,dropout,best_val_loss,epochs,fit_seconds
seq14_h32_l1,14,32,1,0.1,0.30049851536750793,14,0.5801265239715576
seq14_h32_l2,14,32,2,0.1,0.2997541129589081,15,0.736090898513794
seq14_h64_l1,14,64,1,0.1,0.2978229224681854,20,0.8791465759277344
seq14_h64_l2,14,64,2,0.1,0.29645946621894836,18,0.8589251041412354
seq28_h32_l1,28,32,1,0.1,0.3037955164909363,61,2.613992929458618
seq28_h32_l2,28,32,2,0.1,0.3021211326122284,17,0.7779655456542969
seq28_h64_l1,28,64,1,0.1,0.30845433473587036,28,1.105207920074463
seq28_h64_l2,28,64,2,0.1,0.3050856292247772,28,1.2638814449310303
