epoch,train_loss,val_loss
1,0.8894870260666157,0.33649536967277527
2,0.693048031165682,0.3075394034385681
3,0.6977111450557051,0.31119897961616516
4,0.6938628266597616,0.30496159195899963
5,0.6822695012750297,0.29965993762016296
6,0.6908128693186003,0.29645946621894836
7,0.6786319068793593,0.30267682671546936
8,0.6754622798541496,0.30898576974868774
9,0.6711163109746473,0.3038990795612335
10,0.675552131800816,0.31854677200317383
11,0.6836389138780791,0.2973094880580902
12,0.6767666031574381,0.31070783734321594
13,0.6714202854140051,0.30614542961120605
14,0.674686252043165,0.3056258261203766
15,0.6746383473790926,0.3022993803024292
16,0.6780664026737213,0.3134707510471344
17,0.6731870667687778,0.29694733023643494
18,0.6706782065588852,0.3031040132045746
